date,open,high,low,close,volume
2017-08-17 00:00:00,300.0,300.0,300.0,300.0,0.0
2017-08-17 04:00:00,300.0,300.0,300.0,300.0,0.0
2017-08-17 08:00:00,300.0,300.0,300.0,300.0,0.0
2017-08-17 12:00:00,315.0,320.0,300.63,300.63,3711.86945417
2017-08-17 16:00:00,300.63,304.29,297.3,300.45,2753.27257828
2017-08-17 20:00:00,300.45,304.51,299.4,301.05,1255.91397234
2017-08-18 00:00:00,300.0,306.9,295.0,299.9,1314.56618931
2017-08-18 04:00:00,299.9,307.5,299.5,305.71,472.86836488
2017-08-18 08:00:00,305.71,307.5,302.49,305.21,759.23920563
2017-08-18 12:00:00,305.99,307.31,297.22,298.5,2435.70624658
2017-08-18 16:00:00,298.42,299.75,288.59,295.49,2323.60802646
2017-08-18 20:00:00,294.14,296.14,285.9,293.1,1549.76769921
2017-08-19 00:00:00,293.11,298.29,292.09,294.09,1203.27501584
2017-08-19 04:00:00,294.09,296.45,286.9,290.15,1108.9061205
2017-08-19 08:00:00,290.27,292.19,280.5,281.48,1727.65708479
2017-08-19 12:00:00,281.47,292.21,280.0,284.0,1843.3034323
2017-08-19 16:00:00,285.0,291.96,281.0,288.59,707.52582913
2017-08-19 20:00:00,289.27,292.1,287.78,289.01,397.10514682
2017-08-20 00:00:00,289.0,290.4,284.7,289.45,624.08097929
2017-08-20 04:00:00,289.45,293.0,287.5,292.41,392.10672334
2017-08-20 08:00:00,291.89,294.18,286.2,291.16,656.10345509
2017-08-20 12:00:00,291.18,292.89,287.31,290.56,341.67191142
2017-08-20 16:00:00,290.0,294.0,287.85,293.4,440.70039297
2017-08-20 20:00:00,293.35,298.6,290.0,298.4,1101.60130478
2017-08-21 00:00:00,297.26,298.39,292.71,298.1,295.053111
2017-08-21 04:00:00,297.6,329.91,297.36,325.08,5902.80311773
2017-08-21 08:00:00,325.0,332.97,316.12,330.02,2573.64456143
2017-08-21 12:00:00,330.02,353.0,318.6,333.0,9061.51620354
2017-08-21 16:00:00,331.7,341.49,319.02,330.35,4471.40273139
2017-08-21 20:00:00,330.12,331.08,315.0,319.31,2450.07006548
2017-08-22 00:00:00,319.37,328.8,307.72,307.72,2107.7418626
2017-08-22 04:00:00,309.0,312.1,291.86,301.32,5118.96721084
2017-08-22 08:00:00,301.0,311.07,296.8,311.05,1366.43221575
2017-08-22 12:00:00,310.26,313.0,304.92,309.04,2050.16822768
2017-08-22 16:00:00,309.04,323.0,308.1,310.0,3662.03446614
2017-08-22 20:00:00,310.0,320.96,307.44,312.22,2846.62130923
2017-08-23 00:00:00,313.43,317.48,311.34,316.0,1412.16697868
2017-08-23 04:00:00,316.56,324.68,315.83,320.55,2315.84062433
2017-08-23 08:00:00,320.6,324.3,318.76,320.25,1637.99440369
2017-08-23 12:00:00,320.94,321.59,315.12,318.46,1522.82207555
2017-08-23 16:00:00,318.6,320.99,312.0,316.0,1820.36213491
2017-08-23 20:00:00,316.0,318.36,312.0,315.61,2841.93538644
2017-08-24 00:00:00,315.61,316.36,313.2,314.0,847.85217209
2017-08-24 04:00:00,314.0,318.77,312.4,318.51,983.34250768
2017-08-24 08:00:00,318.31,323.12,317.15,323.12,1078.63289665
2017-08-24 12:00:00,322.99,327.49,318.0,321.8,2149.52973217
2017-08-24 16:00:00,322.56,324.57,318.02,323.0,2059.04851248
2017-08-24 20:00:00,323.0,326.0,320.01,323.84,1161.12173034
2017-08-25 00:00:00,323.85,330.0,322.21,328.1,1423.02291587
2017-08-25 04:00:00,328.12,334.89,327.75,333.03,1153.98064374
2017-08-25 08:00:00,332.76,335.0,329.16,331.09,1751.11510648
2017-08-25 12:00:00,331.09,337.17,329.85,334.8,2238.26529786
2017-08-25 16:00:00,334.66,337.22,325.01,327.35,2263.04955206
2017-08-25 20:00:00,328.89,332.06,326.04,329.0,1037.34857518
2017-08-26 00:00:00,329.55,330.62,324.56,326.24,1104.53495702
2017-08-26 04:00:00,325.16,330.0,324.6,330.0,845.12688271
2017-08-26 08:00:00,330.0,331.75,328.0,329.25,2331.21938318
2017-08-26 12:00:00,329.13,335.12,325.59,328.5,2080.82074048
2017-08-26 16:00:00,328.89,333.25,327.49,332.2,1224.9840988
2017-08-26 20:00:00,332.77,333.4,330.71,332.38,578.12535923
2017-08-27 00:00:00,332.42,336.0,332.38,332.81,829.9908021
2017-08-27 04:00:00,332.58,336.33,332.54,334.21,2088.40774643
2017-08-27 08:00:00,334.21,336.29,333.02,334.91,1060.47214308
2017-08-27 12:00:00,334.88,336.62,333.54,336.06,1483.957057
2017-08-27 16:00:00,335.88,341.25,334.77,340.86,1510.45865894
2017-08-27 20:00:00,340.85,347.55,337.62,347.55,1142.69121948
2017-08-28 00:00:00,347.71,350.29,341.55,345.0,2475.8683738
2017-08-28 04:00:00,345.0,345.0,333.01,342.0,1990.23954475
2017-08-28 08:00:00,341.83,342.31,338.0,340.06,2619.96318419
2017-08-28 12:00:00,340.06,344.7,339.12,343.62,2599.75915719
2017-08-28 16:00:00,343.61,345.0,339.5,344.62,2609.28078875
2017-08-28 20:00:00,344.54,348.12,342.76,346.68,1901.48546766
2017-08-29 00:00:00,346.83,349.75,345.0,349.31,1756.90097692
2017-08-29 04:00:00,349.56,355.0,348.18,352.88,1856.83443668
2017-08-29 08:00:00,353.37,367.98,353.37,359.0,9055.31904971
2017-08-29 12:00:00,359.0,367.94,359.0,366.62,4111.18985038
2017-08-29 16:00:00,366.38,373.87,365.14,369.62,4101.81016256
2017-08-29 20:00:00,369.52,376.55,369.52,372.37,3524.04231423
2017-08-30 00:00:00,372.12,374.75,368.71,374.4,2539.3517014
2017-08-30 04:00:00,374.4,390.68,370.0,378.0,9401.04184277
2017-08-30 08:00:00,378.0,380.54,365.0,375.0,11186.44825655
2017-08-30 12:00:00,375.0,383.62,374.99,381.49,6482.50468983
2017-08-30 16:00:00,381.15,388.51,380.5,384.41,2841.25418934
2017-08-30 20:00:00,384.5,386.99,380.04,383.03,1467.84588861
2017-08-31 00:00:00,383.38,385.25,380.05,384.72,1107.88355459
2017-08-31 04:00:00,385.1,385.25,380.5,381.35,1295.08390157
2017-08-31 08:00:00,381.42,385.72,380.09,384.27,1484.54031728
2017-08-31 12:00:00,384.97,393.0,384.2,386.0,6469.55397042
2017-08-31 16:00:00,386.5,389.27,384.2,385.69,3109.44881936
2017-08-31 20:00:00,385.72,389.15,384.57,388.0,1978.87273413
2017-09-01 00:00:00,387.98,396.0,384.29,394.0,3722.72456672
2017-09-01 04:00:00,394.26,394.48,384.2,391.42,2596.98816368
2017-09-01 08:00:00,391.37,395.0,390.16,392.15,2377.71138854
2017-09-01 12:00:00,392.15,395.0,390.01,393.42,4186.84233314
2017-09-01 16:00:00,393.32,394.97,390.0,390.66,4929.19936929
2017-09-01 20:00:00,390.66,392.56,388.64,390.0,3842.96450043
2017-09-02 00:00:00,390.33,392.45,375.0,378.52,5040.8792006
2017-09-02 04:00:00,378.53,382.58,352.0,368.87,8152.46774449
2017-09-02 08:00:00,368.94,370.67,351.8,362.52,4065.62543174
2017-09-02 12:00:00,362.45,364.91,327.0,352.0,6807.71652155
2017-09-02 16:00:00,352.24,352.62,339.88,345.14,2590.79950336
2017-09-02 20:00:00,345.14,351.5,330.0,351.5,3039.24584204
2017-09-03 00:00:00,351.47,359.39,345.0,354.52,1847.07301158
2017-09-03 04:00:00,355.16,370.2,353.9,357.73,4559.60894035
2017-09-03 08:00:00,357.01,362.64,341.2,344.11,2436.70983321
2017-09-03 12:00:00,343.44,347.5,331.0,336.99,5207.9986907
2017-09-03 16:00:00,336.99,347.0,335.03,345.99,5109.75296251
2017-09-03 20:00:00,345.1,351.9,340.6,350.62,4919.31072077
2017-09-04 00:00:00,350.62,352.16,340.62,345.0,935.24839519
2017-09-04 04:00:00,344.38,345.0,320.0,320.0,3543.57408416
2017-09-04 08:00:00,320.02,320.98,295.14,297.72,12433.46169923
2017-09-04 12:00:00,298.03,303.09,281.0,289.49,10888.32585877
2017-09-04 16:00:00,289.5,310.98,275.15,303.0,11813.50362956
2017-09-04 20:00:00,302.02,319.0,295.03,300.0,6578.34442554
2017-09-05 00:00:00,302.71,303.97,273.0,281.26,5397.00889534
2017-09-05 04:00:00,281.77,298.08,270.0,298.08,4543.92253338
2017-09-05 08:00:00,298.29,304.9,288.62,304.82,4162.3680791
2017-09-05 12:00:00,304.81,312.0,295.02,300.89,5799.7548711
2017-09-05 16:00:00,298.64,320.25,295.66,317.26,6868.66293925
2017-09-05 20:00:00,318.55,323.76,310.01,316.54,4992.10575425
2017-09-06 00:00:00,316.62,332.99,316.6,327.22,4264.43508815
2017-09-06 04:00:00,327.2,330.0,315.01,327.5,4693.25792551
2017-09-06 08:00:00,327.5,334.92,326.67,334.52,4625.35609031
2017-09-06 12:00:00,334.52,337.0,325.0,335.31,6539.32494994
2017-09-06 16:00:00,336.49,341.6,333.89,337.92,4104.89074814
2017-09-06 20:00:00,337.9,339.0,332.01,337.36,2854.31142024
2017-09-07 00:00:00,337.36,338.77,323.0,326.43,2324.73997115
2017-09-07 04:00:00,327.72,331.2,323.0,323.8,1489.13246832
2017-09-07 08:00:00,323.8,333.67,323.04,332.0,4838.96168354
